Species,Cultivar,Avg_sl_c,Avg_sl_d,Diff_sl,Avg_wc_c,Avg_wc_d,Diff_wc,Avg_fwt_c,Avg_fwt_d,Diff_fwt,Avg_chl_c,Avg_chl_d,Diff_chl,Avg_caro_c,Avg_caro_d,Diff_caro,Avg_pro_c,Avg_pro_d,Diff_pro,Avg_gb_c,Avg_gb_d,Diff_gb,Avg_tss_c,Avg_tss_d,Diff_tss,Avg_mda_c,Avg_mda_d,Diff_mda,Avg_tpc_c,Avg_tpc_d,Diff_tpc,Avg_tf_c,Avg_tf_d,Diff_tf
Tagetes patula,Bolero,15,13.25,-11.66666667,91.91209063,85.8047415,-6.644772293,5.32025,1.68325,-68.36144918,11.44,11.5225,0.721153846,1.26,1.19,-5.555555556,6.859414775,67.338307,881.6917217,2.147798825,9.103386425,323.8472579,21.1314675,49.533434,134.4060298,282.4297175,279.4669425,-1.049030897,5.470349725,6.5328019,19.42201556,6.8412893,7.127588225,4.184867975
Tagetes patula,Orange Flame,10.125,8.75,-13.58024691,92.489949,73.97352575,-20.01993022,5.06525,1.382,-72.71605548,13.87,4.8875,-64.76207642,1.64,0.7875,-51.98170732,5.314262125,250.3459575,4610.831939,2.398446425,10.99077568,358.2456193,24.83021975,36.50982025,47.03784589,312.09566,350.91283,12.43758724,7.1589542,8.56666615,19.66365353,6.8275234,8.3376517,22.11824422
Tagetes patula,Orion,8.875,6.625,-25.35211268,91.2495895,66.27678975,-27.3675749,8.78775,1.17075,-86.67747717,15.71,3.4425,-78.0872056,1.4425,0.405,-71.9237435,3.88252475,261.4889025,6635.022166,3.084524575,11.4049125,269.7462031,24.5180785,35.99390075,46.80555309,254.2225325,351.0678275,38.09469367,7.2549177,8.45858905,16.59110964,7.20906645,9.286082725,28.8111684
Tagetes patula,Robuszta,8.25,7.25,-12.12121212,91.8389675,75.99085325,-17.25641597,5.188,1.45875,-71.88222822,15.35,3.5225,-77.05211726,1.505,0.6775,-54.9833887,4.481584775,275.762125,6053.227906,2.32792975,6.085690725,161.4207205,27.5190115,35.794651,30.07244464,216.184225,307.0567075,42.03474259,4.63059755,7.678384475,65.81843687,6.74465125,9.051233425,34.19868707
Tagetes patula,Szinkeverek,10.125,7.625,-24.69135802,92.14177875,73.82221375,-19.88193114,8.68075,1.50075,-82.71174726,12.0375,4.48,-62.78296989,1.65,0.51,-69.09090909,6.174040325,363.321225,5784.659087,1.512618225,7.98546445,427.9233265,15.6405065,29.35916725,87.71238163,365.3886475,388.0567825,6.203842171,6.2699725,7.204056975,14.89774437,7.878052875,8.659965075,9.925196142
Tagetes tenuifolia,Luna gold,19.125,17,-11.11111111,91.02316675,84.283495,-7.404347696,13.48375,6.8655,-49.08315565,9.6875,6.3325,-34.63225806,1.39,0.95,-31.65467626,15.6096245,45.13600275,189.1549553,7.074486375,12.831751,81.38067302,9.78927795,24.5031225,150.3057184,431.6463,437.9762325,1.466462819,7.13463985,8.2225538,15.24833731,4.680865725,4.78873185,2.304405453
Tagetes tenuifolia,Luna lemon,19.375,12.75,-34.19354839,90.667787,39.1171895,-56.8565741,6.06825,0.50625,-91.65739711,8.78,1.6475,-81.2357631,1.37,0.25,-81.75182482,7.232946475,230.75394,3090.317263,3.212275475,19.5579815,508.8513159,16.54090925,24.44468225,47.78318338,428.713495,431.496955,0.649258778,6.506894425,7.059738425,8.496280466,5.198059075,7.848355075,50.98626164
Tagetes tenuifolia,Luna orange,17.875,14.125,-20.97902098,90.444769,28.964314,-67.97568912,7.89175,0.493,-93.75296987,11.8925,2.98,-74.94219046,1.495,0.3925,-73.7458194,6.214410625,244.63436,3836.565746,4.918274875,15.225483,209.5695826,17.9570705,29.8923395,66.46556853,432.2920125,451.1727,4.367577229,8.3756313,10.0287997,19.73783636,5.521220175,7.7042837,39.53951221
Tagetes tenuifolia,Sarga,23.125,15,-35.13513514,91.32660175,74.26597575,-18.68089436,8.652,0.61275,-92.91782247,11.5725,5.5125,-52.36552171,1.59,0.8,-49.68553459,8.3651401,88.07592125,952.8923628,3.42477435,14.81051825,332.4523819,18.228988,27.76230125,52.29754526,512.3410775,639.1862275,24.75795043,6.873580125,7.344232775,6.847270875,4.827881075,7.314369875,51.50269365
Tagetes erecta,Alacsony citromsarga,10.125,4.75,-53.08641975,92.1262795,80.8412695,-12.24950151,4.1055,2.3105,-43.72183656,13.1275,4.45,-66.10169492,1.9925,1.3975,-29.86198243,2.4763374,97.0521325,3819.1805,3.277615475,15.858825,383.8525178,13.687152,16.828998,22.95470964,414.4954525,440.34775,6.237052142,4.126532125,4.403141425,6.703190273,2.9876838,3.214075525,7.5774995
Tagetes erecta,Aranysarga,18.125,11.25,-37.93103448,94.2171175,77.783214,-17.44258786,7.199375,5.251,-27.06311312,9.24,3.2225,-65.12445887,2.275,0.95,-58.24175824,2.766151625,248.0602975,8867.704274,2.802632925,7.3946791,163.8475783,19.81985175,22.647365,14.2660666,451.87952,559.0719875,23.7214706,3.914679825,4.13037505,5.509907186,2.720103875,3.272436425,20.30556829
Tagetes erecta,Cupid golden yellow,6.75,6,-11.11111111,91.54066575,67.2705575,-26.51292521,2.53575,2.2285,-12.11673075,9.26,4.0175,-56.61447084,2.1075,0.79,-62.514828,2.30335605,343.4486575,14810.79321,3.569986575,11.404276,219.4487083,11.7314193,16.01765475,36.53637587,408.887575,574.1778675,40.42438621,2.5227399,3.143320525,24.59946921,2.8308677,3.0007771,6.002025457
